season,gameweek,player_id,name,team,position,points,predicted_points,error,abs_error
2022/23,1,420,Mohammed Salisu,Southampton,DEF,-2,4.669232031022921,6.669232031022921,6.669232031022921
2022/23,8,516,Nathan Collins,Wolverhampton Wanderers,DEF,-3,3.566377074417497,6.566377074417497,6.566377074417497
2022/23,24,376,Nick Pope,Newcastle United,GK,-3,3.5148050206879637,6.514805020687964,6.514805020687964
2022/23,1,251,Marc Albrighton,Leicester City,MID,0,6.0706816629495455,6.0706816629495455,6.0706816629495455
2022/23,4,71,Chris Mepham,AFC Bournemouth,DEF,-4,1.9823995301531077,5.982399530153108,5.982399530153108
2022/23,18,612,Wout Faes,Leicester City,DEF,-3,2.960107612468556,5.960107612468557,5.960107612468557
2022/23,29,185,Abdoulaye Doucouré,Everton,MID,-2,3.795086427120453,5.795086427120453,5.795086427120453
2022/23,15,306,João Cancelo,Manchester City,DEF,-2,3.701561571193953,5.7015615711939525,5.7015615711939525
2022/23,24,31,Emiliano Martínez Romero,Aston Villa,GK,-3,2.681590008291888,5.681590008291888,5.681590008291888
2022/23,15,482,Nélson Cabral Semedo,Wolverhampton Wanderers,DEF,-3,2.542598117486743,5.542598117486743,5.542598117486743
2022/23,35,102,Jason Steele,Brighton & Hove Albion,GK,-2,3.503325491355271,5.503325491355271,5.503325491355271
2022/23,12,230,Robin Koch,Leeds United,DEF,-3,2.4622827069600386,5.462282706960039,5.462282706960039
2022/23,27,283,Mohamed Salah,Liverpool,MID,0,5.431275791784375,5.431275791784375,5.431275791784375
2022/23,28,589,Matheus Luiz Nunes,Wolverhampton Wanderers,MID,-3,2.376909284768,5.376909284768,5.376909284768
2022/23,14,141,Trevoh Chalobah,Chelsea,DEF,-2,3.3693428338451215,5.3693428338451215,5.3693428338451215
