player_id,name,team,opponent,pos,pred_points,act_points
111,Leandro Trossard,Brighton,Spurs,MID,5.244,2
516,Nathan Collins,Wolves,Chelsea,DEF,4.769,0
80,Ivan Toney,Brentford,Newcastle,FWD,4.717,5
116,Alexis Mac Allister,Brighton,Spurs,MID,4.688,2
279,Roberto Firmino,Liverpool,Arsenal,FWD,4.585,6
314,Phil Foden,Man City,Southampton,MID,4.433,11
335,Marcus Rashford,Man United,Everton,MID,4.26,2
428,Son Heung-min,Spurs,Brighton,MID,4.244,6
427,Harry Kane,Spurs,Brighton,FWD,4.159,7
475,Conor Coady,Everton,Man United,DEF,3.858,1
