gameweek,player_id,name,team,venue,opponent,predicted_points,actual_points
5,225,Rodrigo Moreno,Leeds United,H,Everton,4.81,1
5,26,William Saliba,Arsenal,H,Aston Villa,4.58,1
5,233,Jack Harrison,Leeds United,H,Everton,4.34,2
5,104,Pascal Groß,Brighton & Hove Albion,A,Fulham,4.26,2
5,368,Allan Saint-Maxim…,Newcastle United,A,Liverpool,4.22,0
5,318,Erling Haaland,Manchester City,H,Nottingham Forest,4.2,17
5,146,Reece James,Chelsea,A,Southampton,3.96,0
5,357,Kieran Trippier,Newcastle United,A,Liverpool,3.94,0
5,398,Dean Henderson,Nottingham Forest,A,Manchester City,3.93,0
5,80,Ivan Toney,Brentford,A,Crystal Palace,3.63,1
20,7,Martin Ødegaard,Arsenal,A,Tottenham Hotspur,4.98,9
20,357,Kieran Trippier,Newcastle United,H,Fulham,4.92,9
20,332,Luke Shaw,Manchester United,H,Manchester City,4.45,2
20,427,Harry Kane,Tottenham Hotspur,H,Arsenal,4.34,5
20,427,Harry Kane,Tottenham Hotspur,H,Arsenal,4.29,2
20,335,Marcus Rashford,Manchester United,H,Manchester City,4.24,2
20,283,Mohamed Salah,Liverpool,A,Brighton & Hove Albion,4.21,2
20,332,Luke Shaw,Manchester United,H,Manchester City,4.18,2
20,335,Marcus Rashford,Manchester United,H,Manchester City,3.93,10
20,701,Wout Weghorst,Manchester United,H,Manchester City,3.91,0
35,356,Callum Wilson,Newcastle United,H,Arsenal,5.13,2
35,283,Mohamed Salah,Liverpool,H,Brentford,4.32,10
35,7,Martin Ødegaard,Arsenal,A,Newcastle United,4.27,10
35,169,Eberechi Eze,Crystal Palace,A,Tottenham Hotspur,4.26,2
35,428,Son Heung-min,Tottenham Hotspur,H,Crystal Palace,4.24,3
35,427,Harry Kane,Tottenham Hotspur,H,Crystal Palace,4.21,8
35,318,Erling Haaland,Manchester City,H,Leeds United,3.99,2
35,66,Dominic Solanke,AFC Bournemouth,H,Chelsea,3.99,2
35,493,Morgan Gibbs-White,Nottingham Forest,H,Southampton,3.85,11
35,285,Trent Alexander-A…,Liverpool,H,Brentford,3.83,7
